cellnames,ttype
20190131_sample_10,Sst
20190201_sample_2,Pvalb
20190201_sample_3,Pvalb
20190201_sample_4,Pvalb
20190201_sample_7,Pvalb
20190201_sample_8,Pvalb
20190201_sample_10,Pvalb
20190204_sample_1,Sst
20190204_sample_2,CT
20190204_sample_4,Sst
20190204_sample_5,Sst
20190204_sample_6,Sst
20190204_sample_7,Pvalb
20190204_sample_8,Pvalb
20190204_sample_9,Pvalb
20190204_sample_10,Pvalb
20190204_sample_11,Sst
20190204_sample_14,Sst
20190204_sample_15,Sst
20190204_sample_16,Sst
20190204_sample_17,Sst
20190204_sample_18,Sst
20190204_sample_21,Pvalb
20190204_sample_24,CT
20190205_sample_1,Pvalb
20190205_sample_2,Sst
20190205_sample_4,Sst
20190205_sample_5,Sst
20190205_sample_6,Sst
20190205_sample_7,Pvalb
20190211_sample_1,Pvalb
20190211_sample_2,IT
20190211_sample_3,Pvalb
20190211_sample_4,IT
20190211_sample_6,Pvalb
20190211_sample_8,Pvalb
20190211_sample_9,Pvalb
20190211_sample_11,Pvalb
20190212_sample_1,Sst
20190212_sample_4,Sst
20190212_sample_5,Sst
20190212_sample_6,Sst
20190212_sample_7,Sst
20190212_sample_8,Sst
20190213_sample_1,Pvalb
20190213_sample_4,Pvalb
20190213_sample_7,Pvalb
20190213_sample_8,Pvalb
20190214_sample_1,Pvalb
20190214_sample_2,Pvalb
20190214_sample_3,Pvalb
20190214_sample_6,Pvalb
20190214_sample_9,Pvalb
20190218_sample_3,Sst
20190218_sample_4,Sst
20190218_sample_5,Sst
20190219_sample_1,Vip
20190219_sample_3,Sncg
20190219_sample_4,Vip
20190219_sample_7,Vip
20190219_sample_8,IT
20190221_sample_1,Sst
20190221_sample_2,Sst
20190221_sample_4,Sst
20190221_sample_10,Sst
20190221_sample_11,Pvalb
20190222_sample_2,CT
20190222_sample_3,IT
20190222_sample_4,CT
20190222_sample_5,CT
20190222_sample_7,Vip
20190222_sample_8,IT
20190226_sample_1,Pvalb
20190226_sample_2,Lamp5
20190226_sample_3,CT
20190226_sample_5,IT
20190226_sample_6,IT
20190226_sample_7,Lamp5
20190226_sample_9,Pvalb
20190227_sample_1,Sst
20190227_sample_2,Sst
20190227_sample_3,Sst
20190227_sample_4,Sst
20190227_sample_5,Sst
20190227_sample_6,Sst
20190227_sample_7,Pvalb
20190318_sample_3,Sst
20190318_sample_4,Sst
20190318_sample_5,Sst
20190318_sample_6,Sst
20190320_sample_4,IT
20190320_sample_5,CT
20190320_sample_6,CT
20190320_sample_9,IT
20190321_sample_4,IT
20190321_sample_6,CT
20190322_sample_1,IT
20190322_sample_2,IT
20190322_sample_4,CT
20190325_sample_1,Lamp5
20190325_sample_3,IT
20190325_sample_4,CT
20190325_sample_5,CT
20190325_sample_6,CT
20190325_sample_7,IT
20190325_sample_9,CT
20190326_sample_1,CT
20190326_sample_2,Vip
20190326_sample_3,Vip
20190326_sample_4,CT
20190327_sample_1,CT
20190327_sample_2,IT
20190327_sample_4,CT
20190327_sample_7,Vip
20190328_sample_1,CT
20190328_sample_3,CT
20190328_sample_4,CT
20190328_sample_6,CT
20190328_sample_8,IT
20190328_sample_9,CT
20190329_sample_3,CT
20190329_sample_4,CT
20190329_sample_5,CT
20190402_sample_2,CT
20190402_sample_3,IT
20190402_sample_6,Vip
20190403_sample_5,IT
20190403_sample_6,Sst
20190403_sample_7,Sst
20190408_sample_1,Pvalb
20190408_sample_2,Sst
20190408_sample_5,Sst
20190408_sample_6,Sst
20190409_sample_4,Sst
20190409_sample_7,Sst
20190409_sample_8,CT
20190409_sample_9,IT
20190409_sample_10,CT
20190409_sample_11,IT
20190410_sample_3,CT
20190410_sample_4,Sst
20190410_sample_6,IT
20190410_sample_7,CT
20190410_sample_10,CT
20190411_sample_1,CT
20190411_sample_5,CT
20190411_sample_6,Pvalb
20190411_sample_8,CT
20190412_sample_1,Pvalb
20190412_sample_3,IT
20190412_sample_6,Pvalb
20190415_sample_1,Pvalb
20190415_sample_3,CT
20190415_sample_4,IT
20190415_sample_6,CT
20190415_sample_8,Sst
20190415_sample_10,IT
20190416_sample_3,CT
20190416_sample_4,Pvalb
20190416_sample_5,Sst
20190416_sample_6,IT
20190416_sample_7,Sncg
20190416_sample_8,Pvalb
20190416_sample_9,IT
20190416_sample_10,CT
20190417_sample_2,CT
20190417_sample_3,CT
20190417_sample_4,Sst
20190417_sample_5,Sst
20190417_sample_9,CT
20190417_sample_10,Sst
20190418_sample_2,Sst
20190418_sample_4,CT
20190418_sample_5,IT
20190418_sample_7,CT
20190418_sample_8,Pvalb
20190418_sample_9,CT
20190418_sample_10,CT
20190422_sample_1,Pvalb
20190422_sample_4,Pvalb
20190422_sample_5,Pvalb
20190422_sample_6,CT
20190422_sample_7,IT
20190422_sample_8,Pvalb
20190422_sample_10,CT
20190423_sample_1,IT
20190423_sample_3,CT
20190423_sample_5,CT
20190423_sample_7,CT
20190423_sample_8,Pvalb
20190423_sample_10,Pvalb
20190424_sample_2,Pvalb
20190424_sample_3,CT
20190424_sample_4,CT
20190424_sample_5,CT
20190424_sample_6,IT
20190424_sample_7,Lamp5
20190425_sample_1,IT
20190425_sample_4,Lamp5
20190425_sample_6,Sst
20190425_sample_7,IT
20190425_sample_8,CT
20190425_sample_9,CT
20190425_sample_12,CT
20190425_sample_13,CT
20190425_sample_14,CT
20190425_sample_16,IT
20190429_sample_1,Pvalb
20190429_sample_4,Pvalb
20190429_sample_5,Pvalb
20190429_sample_6,Pvalb
20190429_sample_7,CT
20190430_sample_1,Vip
20190430_sample_3,Vip
20190430_sample_4,Vip
20190430_sample_5,Vip
20190430_sample_6,Vip
20190430_sample_7,IT
20190430_sample_8,Vip
20190430_sample_9,IT
20190430_sample_10,IT
20190501_sample_1,Vip
20190501_sample_3,Vip
20190501_sample_4,Vip
20190501_sample_5,CT
20190501_sample_6,Vip
20190501_sample_7,Pvalb
20190501_sample_8,Vip
20190501_sample_9,Pvalb
20190501_sample_11,Pvalb
20190501_sample_12,IT
20190501_sample_14,Pvalb
20190503_sample_1,Vip
20190503_sample_3,Vip
20190506_sample_1,Vip
20190506_sample_2,Vip
20190506_sample_3,Vip
20190506_sample_4,CT
20190506_sample_5,Vip
20190506_sample_6,CT
20190506_sample_7,Vip
20190507_sample_2,Vip
20190507_sample_3,CT
20190507_sample_4,Vip
20190507_sample_5,Vip
20190507_sample_6,Vip
20190508_sample_1,Lamp5
20190508_sample_2,Sst
20190508_sample_3,Lamp5
20190508_sample_4,Sst
20190508_sample_6,Pvalb
20190508_sample_7,Sst
20190509_sample_2,Vip
20190509_sample_3,Lamp5
20190509_sample_4,Vip
20190509_sample_5,Lamp5
20190509_sample_9,Vip
20190513_sample_1,Lamp5
20190513_sample_2,Vip
20190513_sample_3,Vip
20190513_sample_4,Vip
20190513_sample_5,Lamp5
20190514_sample_2,Pvalb
20190514_sample_4,Lamp5
20190514_sample_7,Lamp5
20190514_sample_8,Pvalb
20190515_sample_1,Lamp5
20190515_sample_4,Vip
20190515_sample_5,Lamp5
20190515_sample_6,Vip
20190515_sample_7,Lamp5
20190515_sample_8,Vip
20190515_sample_9,Lamp5
20190515_sample_10,Vip
20190515_sample_11,Lamp5
20190515_sample_12,Vip
20190515_sample_13,Vip
20190515_sample_14,Vip
20190515_sample_15,Lamp5
20190516_sample_2,Sst
20190516_sample_3,Lamp5
20190516_sample_4,Sst
20190516_sample_5,Lamp5
20190516_sample_6,Sst
20190522_sample_1,Lamp5
20190528_sample_2,Vip
20190528_sample_4,Vip
20190528_sample_6,Vip
20190528_sample_7,Lamp5
20190528_sample_8,Vip
20190528_sample_9,Vip
20190529_sample_2,Vip
20190529_sample_3,Sncg
20190529_sample_6,Vip
20190603_sample_1,Lamp5
20190603_sample_2,Vip
20190603_sample_3,Vip
20190603_sample_4,Vip
20190603_sample_5,Lamp5
20190603_sample_6,Lamp5
